step,epoch,epoch_step,loss,learn_rate
500,499,0,0.1828167,0.004
1000,999,0,0.1159033,0.004
1500,1499,0,0.3485020,0.004
2000,1999,0,0.0462371,0.004
2500,2499,0,0.0844291,0.004
3000,2999,0,0.1966686,0.004
3500,3499,0,0.1387325,0.004
4000,3999,0,0.0809443,0.004
4500,4499,0,0.1101762,0.004
5000,4999,0,0.0407909,0.004
